"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Login API - Success","","Mon Aug 18 00:24:46 UTC 2025","passed","Mon Aug 18 00:24:46 UTC 2025","","mock api page","",""
"","36","Create Usage Data - Success","","Mon Aug 18 00:24:46 UTC 2025","passed","Mon Aug 18 00:24:46 UTC 2025","","mock api page","",""
"","41","Login API - Failure","","Mon Aug 18 00:24:46 UTC 2025","passed","Mon Aug 18 00:24:46 UTC 2025","","mock api page","",""
"","1216","Create Usage Data - Failure","","Mon Aug 18 00:24:32 UTC 2025","passed","Mon Aug 18 00:24:33 UTC 2025","","api page","",""
"","39","GET all usage records - invalid records do not exist","","Mon Aug 18 00:24:46 UTC 2025","passed","Mon Aug 18 00:24:46 UTC 2025","","mock api page","",""
"","1399","invalid data show error","","Mon Aug 18 00:24:38 UTC 2025","passed","Mon Aug 18 00:24:40 UTC 2025","","Enter Energy Usage","",""
"","738","invalid credentials show error","","Mon Aug 18 00:24:43 UTC 2025","passed","Mon Aug 18 00:24:44 UTC 2025","","Authentication","",""
"","930","GET all usage records and assert invalid records do not exist","","Mon Aug 18 00:24:31 UTC 2025","passed","Mon Aug 18 00:24:32 UTC 2025","","api page","",""
"","956","happy path: logs in with valid credentials","","Mon Aug 18 00:24:42 UTC 2025","passed","Mon Aug 18 00:24:43 UTC 2025","","Authentication","",""
"","51","GET all usage records - valid","","Mon Aug 18 00:24:46 UTC 2025","passed","Mon Aug 18 00:24:46 UTC 2025","","mock api page","",""
"","1287","GET all usage records and assert","","Mon Aug 18 00:24:30 UTC 2025","passed","Mon Aug 18 00:24:31 UTC 2025","","api page","",""
"","1952","fills the multi-step form and saves a new record","","Mon Aug 18 00:24:36 UTC 2025","passed","Mon Aug 18 00:24:38 UTC 2025","","Enter Energy Usage","",""
